TERYT;county;city;street;building_num;full_name;lat;lng
20402;górowski;Jemielno;;81;24a089f48818157d41cd0b2a379ba0bf;0;0
20402;górowski;Psary;;44;0187a77c29bd3715a0cf9f11321a9ab2;0;0
20403;górowski;Siciny;;78;874f1e5ebc6040bef162099c1072e931;0;0
20403;górowski;Niechlów;ul. Dworcowa;9;43153944d27cdc70a77889493255c047;0;0
20403;górowski;Lipowiec;;16;1b27cbbf8a50e64d2c8e728d34393f2f;0;0
20403;górowski;Naratów;;21;86f1a16369f0363062e38cf47be22706;0;0
20404;górowski;Czarnoborsko;;10;375e174e006998ba2db29cac900a884a;0;0
20404;górowski;Wąsosz;ul. Krzywa;11;c05753c65d5366c1761ca26181a7d455;0;0
20404;górowski;Wąsosz;ul. Zacisze;10D;2e40805ddd5cada7143b1101f3a1fcc1;0;0
20404;górowski;Pobiel;;75;6519b49ea082e77e860b18d24d40e92b;0;0
20404;górowski;Kamień Górowski;;8A;198ef04f246449f9068bcac05a1e9c82;0;0
20501;jaworski;Jawor;ul. Armii Krajowej;9;189cf5fb14fbef3bbab75460b1c60805;0;0
20501;jaworski;Jawor;ul. Parkowa;5;a923e6eca01f9a87b2158a1b80d23516;0;0
20501;jaworski;Jawor;ul. Wroclawska;30a;4f587133de4cb489cbf826ea8c0c3f48;0;0
20501;jaworski;Jawor;Plac Bankowy;1;5e87f1958724f9e2a05e9441fad4d27b;0;0
20501;jaworski;Jawor;ul. kard. Stefana Wyszynskiego;1;a8edc4cc10c39eaecbb96a42c9b56b30;0;0
20501;jaworski;Jawor;Plac Seniora;4;72cc3e2a0e7d15c855c9013e535d6431;0;0
20501;jaworski;Jawor;ul. Stanislawa Moniuszki;10;a2fff5702e824ce869acbb652748fdc6;0;0
20501;jaworski;Jawor;ul. Stanislawa Moniuszki;4;608df9688e32322089247b0d4112f2b2;0;0
20501;jaworski;Jawor;ul. Ignacego Paderewskiego;6;f5fb172efc3c5a11136fdb6076ff9862;0;0
20501;jaworski;Jawor;ul. Boleslawa Limanowskiego;10;3453cf4297590a4ccb0334b5861066a9;0;0
20501;jaworski;Jawor;ul. Romana Dmowskiego;5;11c814378d9bd572b01c5087e0dfb10a;0;0
20501;jaworski;Jawor;ul. Starojaworska;82;73b304713fb997e72a09743fe2111f7a;0;0
20502;jaworski;Bolków;ul. Szpitalna;16;28d60075e7dcb21b112dc73c8f8253ad;0;0
20502;jaworski;Bolków;ul. Mickiewicza;1;9e490b822ee0149f3c0b6a58b92e8f7e;0;0
20502;jaworski;Bolków;ul. Kolejowa;5;f091c2aaef52a21b2b581d372d6c061e;0;0
20502;jaworski;Bolków;ul. Sienkiewicza;39;5bb42c080fe1f8dabbf7118c2ba1486b;0;0
20502;jaworski;Mysłów;;44;a0122b23954e14c7e8a762d875b9805d;0;0
20502;jaworski;Kaczorów;ul. Nowa Wies;1B;e98569f2fdb831ab83a2eb87e1f7e7ad;0;0
20502;jaworski;Lipa;;67;4d2d72f53cbd80ca2668236714626ea2;0;0
20502;jaworski;Sady Górne;;94;5a23792ed51e9000f06a94b8ad780008;0;0
20502;jaworski;Wierzchosławice;;106;f4564851b09216921dcb50605db69574;0;0
20502;jaworski;Stare Rochowice;;53;ddddabddd9d57bd3ae6769d7128b2695;0;0
20502;jaworski;Wolbromek;;43B;aa0081d45b4c39f32edd68513f2ab2c6;0;0
20503;jaworski;Męcinka;;10B;aaf2ab288d61543976b5fb505b96751b;0;0
20503;jaworski;Małuszów;;17;35745cd1ac79576497dcbcbf1c2c8c78;0;0
20503;jaworski;Pomocne;;51;0cd895d8442245a759729c5f4c0f77b3;0;0
20503;jaworski;Piotrowice;;139;4fd693fce58d319b435fd7dd3c379b56;0;0
20504;jaworski;Targoszyn;;51;c4696910812698ad17dbcdbf0604b027;0;0
20504;jaworski;Snowidza;;91A;1bb33a60d7c92ba6a52819030e9aef75;0;0
20504;jaworski;Mściwojów;;54;e6913ddbd977b7ef718b38789ffe1f25;0;0
20505;jaworski;Paszowice;;136;5e9878ecf93e5a749c9e872b3cebc916;0;0
